City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
100,Liverpool,GB,53.4106,-2.9779,46.53,89,20,8.05,few clouds
101,Muscat,OM,23.6139,58.5922,73.42,38,96,2.37,overcast clouds
102,Waipawa,NZ,-41.4122,175.5153,57.04,65,62,18.97,broken clouds
103,Alot,IN,23.7667,75.55,69.98,33,0,5.57,clear sky
104,Kruisfontein,ZA,-34.0033,24.7314,62.89,77,90,7.31,overcast clouds
105,Carnarvon,AU,-24.8667,113.6333,76.44,55,0,13.22,clear sky
106,Charters Towers,AU,-20.1,146.2667,94.3,29,58,9.66,broken clouds
107,Hami,CN,42.8,93.45,38.44,42,100,4.36,overcast clouds
108,Bahia Honda,CU,22.9036,-83.1592,75.74,90,26,6.87,scattered clouds
109,Fairbanks,US,64.8378,-147.7164,10.36,87,100,3.44,light snow
110,Batagay-Alyta,RU,67.8006,130.4114,-29.54,96,45,3.49,scattered clouds
111,Aviles,ES,43.5547,-5.9248,53.92,69,0,3.44,clear sky
112,Leningradskiy,RU,69.3833,178.4167,-3.75,98,100,3.62,light snow
113,Abu Kamal,SY,34.4506,40.9171,62.69,36,39,8.16,scattered clouds
114,Beringovskiy,RU,63.05,179.3167,24.49,92,99,6.2,overcast clouds
115,Jalu,LY,29.0331,21.5482,57.58,65,1,8.88,clear sky
116,Kandrian,PG,-6.2167,149.55,86.68,65,19,8.99,light rain
117,Ajaccio,FR,42.0,8.9167,51.85,82,75,4.61,broken clouds
118,Uvira,CD,-3.4067,29.1458,71.38,86,91,3.71,light rain
119,Bollnas,SE,61.3482,16.3946,30.99,93,100,5.61,overcast clouds
120,Yuzhou,CN,34.1628,113.4639,62.8,54,6,8.34,clear sky
121,Saint-Augustin,CA,51.226,-58.6502,9.7,89,67,15.19,broken clouds
122,Kelo,TD,9.3086,15.8066,67.59,26,7,4.0,clear sky
123,Victor Harbor,AU,-35.5667,138.6167,76.68,69,37,1.99,scattered clouds
124,Hovd,MN,48.0056,91.6419,15.04,53,2,3.33,clear sky
125,Talaya,RU,61.3833,152.75,-13.83,95,100,5.5,overcast clouds
126,Bubaque,GW,11.2833,-15.8333,81.75,64,98,7.96,overcast clouds
127,Adrar,MR,20.5022,-10.0711,62.64,17,18,8.46,few clouds
128,Kuytun,RU,54.3419,101.5036,4.12,67,100,11.86,overcast clouds
129,Estelle,US,29.8458,-90.1067,62.6,80,73,6.26,broken clouds
130,Saint Anthony,US,45.0205,-93.218,41.13,86,0,6.91,clear sky
131,Harper,LR,4.375,-7.7169,77.43,85,32,5.53,light rain
132,Kim,TJ,40.208,70.4688,50.0,44,98,5.99,overcast clouds
133,Bredasdorp,ZA,-34.5322,20.0403,59.9,81,100,11.61,light rain
134,Yinchuan,CN,38.4681,106.2731,49.57,37,0,1.99,clear sky
135,Chumikan,RU,54.7183,135.315,8.87,70,1,21.68,clear sky
136,Phuket,TH,8.0,98.25,82.09,100,75,8.05,broken clouds
137,Cherskiy,RU,68.75,161.3,-27.27,97,99,0.87,overcast clouds
138,Ola,RU,59.5833,151.2833,3.15,78,63,9.8,broken clouds
139,Kalengwa,ZM,-13.4659,25.0027,60.98,95,100,3.33,overcast clouds
140,Barrow,US,71.2906,-156.7887,6.82,85,100,12.66,light snow
141,Husum,DE,54.4858,9.0524,42.98,97,100,9.84,overcast clouds
142,Zaraza,VE,9.3503,-65.3245,72.75,94,45,4.0,scattered clouds
143,Muisne,EC,0.6,-80.0333,73.18,84,100,7.74,overcast clouds
144,Sao Filipe,CV,14.8961,-24.4956,76.68,64,100,10.38,overcast clouds
145,Lompoc,US,34.6391,-120.4579,61.79,96,0,6.91,clear sky
146,Pathalgaon,IN,22.5667,83.4667,70.32,36,56,2.62,broken clouds
147,Saint George,US,37.1041,-113.5841,52.39,34,0,24.16,clear sky
148,Edd,ER,13.9297,41.6925,80.74,52,0,15.68,clear sky
149,Axim,GH,4.8699,-2.2405,77.09,87,99,5.39,overcast clouds
150,Tripoli,LY,32.8752,13.1875,63.73,57,0,14.41,clear sky
151,Numan,NG,9.4667,12.0333,70.5,23,100,0.65,overcast clouds
152,Iqaluit,CA,63.7506,-68.5145,-5.31,63,17,5.99,few clouds
153,Bambous Virieux,MU,-20.3428,57.7575,80.22,78,75,8.05,broken clouds
154,Upernavik,GL,72.7868,-56.1549,20.75,91,100,4.99,overcast clouds
